train_loss,epoch,step,val_loss,val_mae,best_val_loss,test_loss,test_mae
2041.588134765625,0,9,,,,,
773.0809936523438,0,19,,,,,
231.64703369140625,0,29,,,,,
,0,36,59.63680648803711,6.386730194091797,61.47479248046875,,
50.09086608886719,1,39,,,,,
49.36509323120117,1,49,,,,,
59.498538970947266,1,59,,,,,
47.148345947265625,1,69,,,,,
,1,73,89.47103118896484,7.918486595153809,61.47479248046875,,
33.205299377441406,2,79,,,,,
30.781654357910156,2,89,,,,,
43.834815979003906,2,99,,,,,
34.86913299560547,2,109,,,,,
,2,110,42.58930587768555,5.2835893630981445,42.56208419799805,,
33.55232238769531,3,119,,,,,
32.52330017089844,3,129,,,,,
32.709312438964844,3,139,,,,,
,3,147,38.84394073486328,5.079257488250732,38.17554473876953,,
30.1665096282959,4,149,,,,,
28.811176300048828,4,159,,,,,
30.129966735839844,4,169,,,,,
30.229354858398438,4,179,,,,,
,4,184,35.241580963134766,4.828081130981445,35.321834564208984,,
28.201282501220703,5,189,,,,,
30.607439041137695,5,199,,,,,
25.243349075317383,5,209,,,,,
22.752105712890625,5,219,,,,,
,5,221,34.14736557006836,4.773398399353027,34.51890182495117,,
31.183204650878906,6,229,,,,,
33.71791076660156,6,239,,,,,
29.28237533569336,6,249,,,,,
,6,258,42.66762924194336,5.236751556396484,34.51890182495117,,
26.54806137084961,7,259,,,,,
25.238985061645508,7,269,,,,,
19.073760986328125,7,279,,,,,
28.7891845703125,7,289,,,,,
,7,295,34.34943771362305,4.731368541717529,34.32107162475586,,
24.078840255737305,8,299,,,,,
22.270423889160156,8,309,,,,,
17.397050857543945,8,319,,,,,
26.1862735748291,8,329,,,,,
,8,332,34.34674072265625,4.771689414978027,34.16559600830078,,
17.66342544555664,9,339,,,,,
20.768054962158203,9,349,,,,,
24.081708908081055,9,359,,,,,
18.57952880859375,9,369,,,,,
,9,369,35.917457580566406,4.800462245941162,34.16559600830078,,
18.78760528564453,10,379,,,,,
16.417470932006836,10,389,,,,,
25.792152404785156,10,399,,,,,
,10,406,34.15020751953125,4.772930145263672,34.16559600830078,,
14.849002838134766,11,409,,,,,
18.89130973815918,11,419,,,,,
20.515493392944336,11,429,,,,,
19.453216552734375,11,439,,,,,
,11,443,35.33197784423828,4.81077241897583,34.16559600830078,,
19.573505401611328,12,449,,,,,
15.123767852783203,12,459,,,,,
21.446727752685547,12,469,,,,,
16.785247802734375,12,479,,,,,
,12,480,37.639915466308594,4.936390399932861,34.16559600830078,,
13.953981399536133,13,489,,,,,
15.59609603881836,13,499,,,,,
14.106012344360352,13,509,,,,,
,13,517,35.4837532043457,4.803431987762451,34.16559600830078,,
16.39844512939453,14,519,,,,,
12.746166229248047,14,529,,,,,
15.75179386138916,14,539,,,,,
13.240628242492676,14,549,,,,,
,14,554,40.11083221435547,5.211990833282471,34.16559600830078,,
10.814847946166992,15,559,,,,,
16.0216121673584,15,569,,,,,
15.322281837463379,15,579,,,,,
16.91891098022461,15,589,,,,,
,15,591,36.69852828979492,4.842962741851807,34.16559600830078,,
12.66836166381836,16,599,,,,,
14.022652626037598,16,609,,,,,
16.073383331298828,16,619,,,,,
,16,628,42.893287658691406,5.371817588806152,34.16559600830078,,
10.610200881958008,17,629,,,,,
10.811491012573242,17,639,,,,,
12.330780029296875,17,649,,,,,
11.422046661376953,17,659,,,,,
,17,665,39.161468505859375,5.02256441116333,34.16559600830078,,
10.497611999511719,18,669,,,,,
11.295482635498047,18,679,,,,,
13.753458976745605,18,689,,,,,
11.866443634033203,18,699,,,,,
,18,702,36.37428665161133,4.824504852294922,34.16559600830078,,
13.164908409118652,19,709,,,,,
9.727799415588379,19,719,,,,,
9.919292449951172,19,729,,,,,
8.590319633483887,19,739,,,,,
,19,739,36.76607894897461,4.918254375457764,34.16559600830078,,
12.763816833496094,20,749,,,,,
10.767311096191406,20,759,,,,,
10.542536735534668,20,769,,,,,
,20,776,39.0345573425293,5.081157207489014,34.16559600830078,,
,21,777,,,,27.120098114013672,4.217903137207031
